asv	sample	count	relab
00bf0958c6275f12aa75f11d79029099	442	49	4.319921007158726e-4
00bf0958c6275f12aa75f11d79029099	443	275	0.00241177296007858
00bf0958c6275f12aa75f11d79029099	446	128	0.0025693008691463097
00bf0958c6275f12aa75f11d79029099	447	26	2.1538869375041422e-4
00bf0958c6275f12aa75f11d79029099	448	1637	0.014612287889742835
00bf0958c6275f12aa75f11d79029099	449	52	8.037591195746259e-4
00bf0958c6275f12aa75f11d79029099	450	80	3.917228952239186e-4
00bf0958c6275f12aa75f11d79029099	454	101	0.001253848445724501
00bf0958c6275f12aa75f11d79029099	455	99	8.179857720050567e-4
00bf0958c6275f12aa75f11d79029099	457	26	1.7305644302449414e-4
00bf0958c6275f12aa75f11d79029099	459	418	0.004874749265288986
00bf0958c6275f12aa75f11d79029099	460	330	0.0014093469598677776
00bf0958c6275f12aa75f11d79029099	461	78	0.0010247786215413722
00bf0958c6275f12aa75f11d79029099	462	155	0.0021404109589041095
00bf0958c6275f12aa75f11d79029099	464	182	0.0049702332186356436
00bf0958c6275f12aa75f11d79029099	472	517	0.010973616623861778
00bf0958c6275f12aa75f11d79029099	473	704	0.007607192254495159
00bf0958c6275f12aa75f11d79029099	474	89	0.0035234965754780473
00bf0958c6275f12aa75f11d79029099	479	590	0.006602432828638892
00bf0958c6275f12aa75f11d79029099	480	47	0.0028291097333413592
00bf0958c6275f12aa75f11d79029099	489	92	0.0016150834752383127
00bf0958c6275f12aa75f11d79029099	491	330	0.006020249931588069
00bf0958c6275f12aa75f11d79029099	492	475	0.006890649026605159
00bf0958c6275f12aa75f11d79029099	501	11	1.8855311198340732e-4
00bf0958c6275f12aa75f11d79029099	511	241	0.004062025956514411
00bf0958c6275f12aa75f11d79029099	513	559	0.0052548953251172715
00bf0958c6275f12aa75f11d79029099	516	70	5.835813554093823e-4
00bf0958c6275f12aa75f11d79029099	522	201	0.003478230774555271
00bf0958c6275f12aa75f11d79029099	526	312	0.007535867832471861
00bf0958c6275f12aa75f11d79029099	527	586	0.009272738780935503
00bf0958c6275f12aa75f11d79029099	547	204	0.0039977267828097745
00bf0958c6275f12aa75f11d79029099	549	40	5.987934312360594e-4
00bf0958c6275f12aa75f11d79029099	555	413	0.007776606161030353
00bf0958c6275f12aa75f11d79029099	559	412	0.004630253989660598
00bf0958c6275f12aa75f11d79029099	563	6	2.4741247783596553e-4
00bf0958c6275f12aa75f11d79029099	565	15	3.382721060821325e-4
00bf0958c6275f12aa75f11d79029099	574	54	4.678605775478907e-4
00bf0958c6275f12aa75f11d79029099	575	37	4.1060014204545456e-4
00bf0958c6275f12aa75f11d79029099	576	535	0.008144562172695165
00bf0958c6275f12aa75f11d79029099	581	27	3.2132528830018924e-4
00bf0958c6275f12aa75f11d79029099	587	153	0.0021580907244414353
00bf0958c6275f12aa75f11d79029099	588	12	2.6164311878597594e-4
00bf0958c6275f12aa75f11d79029099	598	9	1.3808552096598493e-4
00bf0958c6275f12aa75f11d79029099	613	722	0.009929994911221445
00bf0958c6275f12aa75f11d79029099	615	510	0.006141766420193165
00bf0958c6275f12aa75f11d79029099	617	134	0.00114396940308701
00bf0958c6275f12aa75f11d79029099	623	241	0.0064068481497235215
00bf0958c6275f12aa75f11d79029099	650	318	0.006032553021967599
00bf0958c6275f12aa75f11d79029099	651	605	0.006191855407383148
00bf0958c6275f12aa75f11d79029099	652	564	0.006023903361209907
00bf0958c6275f12aa75f11d79029099	653	233	0.00331281190906118
00bf0958c6275f12aa75f11d79029099	654	142	0.0016703131248970758
00bf0958c6275f12aa75f11d79029099	655	97	7.186569265191815e-4
00bf0958c6275f12aa75f11d79029099	664	467	0.004589725697549853
00bf0958c6275f12aa75f11d79029099	672	865	0.008184854707001126
00bf0958c6275f12aa75f11d79029099	673	326	0.0033869426089847485
00bf0958c6275f12aa75f11d79029099	676	69	0.0014464195874559786
00bf0958c6275f12aa75f11d79029099	677	19	3.62470906940364e-4
00bf0958c6275f12aa75f11d79029099	686	599	0.010198348514514344
00d729cecbd2a1acbeb4aa5e0c61169c	650	4	7.588117008764276e-5
00e419130e3a311ca9eb68804aa0b3e3	422	2	6.653581290129412e-5
00e419130e3a311ca9eb68804aa0b3e3	559	1	1.1238480557428635e-5
00e6fe3bb2cbe2728c82f684a4e12c4b	405	2	3.698156469000203e-5
0109275e7d0c45e0538d372e9d1ca55d	462	8	1.104728236853734e-4
0109275e7d0c45e0538d372e9d1ca55d	565	4	9.020589495523532e-5
0109275e7d0c45e0538d372e9d1ca55d	575	2	2.2194602272727273e-5
0109275e7d0c45e0538d372e9d1ca55d	617	26	2.2196421253927058e-4
010ed335fb48d4dbc5903cabedb35bb9	380	13	1.7982626016710009e-4
010ed335fb48d4dbc5903cabedb35bb9	381	28	0.0013110455588331695
010ed335fb48d4dbc5903cabedb35bb9	382	156	0.002385904808515845
010ed335fb48d4dbc5903cabedb35bb9	383	32	9.364665944807e-4
010ed335fb48d4dbc5903cabedb35bb9	390	177	0.007161063235829591
010ed335fb48d4dbc5903cabedb35bb9	391	13	2.921348314606742e-4
010ed335fb48d4dbc5903cabedb35bb9	393	285	0.006814595189134905
010ed335fb48d4dbc5903cabedb35bb9	395	187	0.0031422762178420797
010ed335fb48d4dbc5903cabedb35bb9	397	633	0.0070003538883482265
010ed335fb48d4dbc5903cabedb35bb9	399	80	0.0013058879221690797
010ed335fb48d4dbc5903cabedb35bb9	405	289	0.005343836097705294
010ed335fb48d4dbc5903cabedb35bb9	406	226	0.001431911348214229
010ed335fb48d4dbc5903cabedb35bb9	407	100	9.096946155175708e-4
010ed335fb48d4dbc5903cabedb35bb9	418	532	0.007229636072078928
010ed335fb48d4dbc5903cabedb35bb9	419	1313	0.017169009480222295
010ed335fb48d4dbc5903cabedb35bb9	424	37	5.98211831659957e-4
010ed335fb48d4dbc5903cabedb35bb9	426	3	3.6401140569071166e-5
010ed335fb48d4dbc5903cabedb35bb9	428	336	0.004317767097586677
010ed335fb48d4dbc5903cabedb35bb9	429	60	0.0020108586366378444
010ed335fb48d4dbc5903cabedb35bb9	430	486	0.010801680261373991
010ed335fb48d4dbc5903cabedb35bb9	431	500	0.01789228842368939
010ed335fb48d4dbc5903cabedb35bb9	432	24	5.42311603208677e-4
010ed335fb48d4dbc5903cabedb35bb9	433	724	0.008683970637624142
010ed335fb48d4dbc5903cabedb35bb9	434	25	3.6763083981589047e-4
010ed335fb48d4dbc5903cabedb35bb9	435	283	0.004653686772347563
010ed335fb48d4dbc5903cabedb35bb9	436	2645	0.03759665681146236
010ed335fb48d4dbc5903cabedb35bb9	440	192	0.0011868629111521842
010ed335fb48d4dbc5903cabedb35bb9	442	47	4.143597700744084e-4
010ed335fb48d4dbc5903cabedb35bb9	443	43	3.7711359012137797e-4
010ed335fb48d4dbc5903cabedb35bb9	446	183	0.0036732973363576144
010ed335fb48d4dbc5903cabedb35bb9	447	88	7.290078865398635e-4
